app_name,version,install_count
Activity Monitor,10.14,2
AirPort Utility,6.3.9,2
App Store,3.0,2
Atom,1.54.0,1
Atom,1.56.0,1
Audio MIDI Setup,3.5,2
Automator,2.10,2
Bluetooth File Exchange,8.0.3,2
Books,3.1,2
Boot Camp Assistant,6.1.0,2
Calculator,10.16,2
Calendar,11.0,2
Chess,3.18,2
ColorSync Utility,4.14.0,2
Console,1.1,2
Contacts,13.0,2
Dictionary,2.3.0,2
Digital Color Meter,5.22,2
Disk Utility,20.1,2
FaceTime,5.0,2
FindMy,2.0,2
Font Book,10.0,2
GarageBand,10.4.2,1
Google Chrome,90.0.4430.93,1
Google Chrome,90.0.4430.212,1
Grapher,2.7,2
Home,5.0,2
Image Capture,8.0,2
Kandji Self Service,1.3,2
Keychain Access,11.0,2
Keynote,10.3.8,1
Launchpad,1.0,2
Mail,14.0,2
Maps,3.0,2
Messages,14.0,2
Migration Assistant,11.2,2
Mission Control,1.2,2
Music,1.1.3,2
News,6.2.1,2
Notes,4.8,2
Numbers,10.3.5,1
Pages,10.3.5,1
Photo Booth,11.0,2
Photos,6.0,2
Podcasts,1.1.0,2
Preview,11.0,2
QuickTime Player,10.5,2
Reminders,7.0,2
Safari,14.0.3,2
Screenshot,1.0,2
Script Editor,2.11,2
Siri,1.0,2
Stickies,10.2,2
Stocks,3.2.1,2
Sublime Text,Build 3211,2
System Information,11.0,2
System Preferences,14.0,2
TV,1.1.3,2
Terminal,2.11,2
TextEdit,1.16,2
Time Machine,1.3,2
VoiceMemos,2.2,2
VoiceOver Utility,10,2
iMovie,10.2.2,1
